age,gender,education_level,experience_years,pevious_companies,distance_from_company,interview_score,skill_score,personality_score,recruitment_strategy,hiring_decision
50,Male,Master's,0,1,9.72949256235932,30,2,50,Aggressive,Not Selected
29,Male,Master's,10,4,36.37131375809662,1,86,6,Aggressive,Selected
47,Male,Bachelor's (Type 1),0,1,36.58889724954747,14,84,5,Moderate,Not Selected
47,Male,Bachelor's (Type 2),11,5,45.91776375838327,56,22,23,Moderate,Not Selected
35,Female,Bachelor's (Type 1),6,1,30.134307327729143,74,67,18,Aggressive,Selected
34,Male,Bachelor's (Type 2),10,1,7.205368385688869,33,20,82,Aggressive,Selected
49,Female,Master's,2,1,7.070745275248607,67,100,99,Constructive,Not Selected
49,Male,Bachelor's (Type 2),9,2,37.05661786784118,74,42,8,Constructive,Not Selected
34,Female,Bachelor's (Type 2),1,2,10.189233255395058,28,94,35,Aggressive,Not Selected
49,Male,Bachelor's (Type 1),8,5,17.419274980830266,65,84,39,Moderate,Not Selected
38,Female,Bachelor's (Type 2),2,1,25.36060034609569,15,25,92,Moderate,Not Selected
31,Male,Bachelor's (Type 2),15,3,2.23824387880756,38,40,23,Moderate,Not Selected
42,Female,Bachelor's (Type 2),1,5,13.440951350996594,76,98,47,Constructive,Not Selected
39,Male,Bachelor's (Type 2),11,1,21.394480425364,36,37,62,Aggressive,Selected
44,Female,Bachelor's (Type 2),7,1,14.981815924660312,80,87,68,Moderate,Selected
22,Male,Bachelor's (Type 2),9,2,7.818516373378292,20,10,52,Moderate,Not Selected
24,Female,Bachelor's (Type 1),5,5,37.40061288980987,43,28,53,Moderate,Not Selected
38,Female,Bachelor's (Type 1),5,1,41.65738275839925,18,59,41,Moderate,Not Selected
26,Male,Bachelor's (Type 2),9,1,13.873948807186242,70,66,44,Constructive,Not Selected
40,Male,Bachelor's (Type 2),10,5,39.72097473031516,7,64,89,Aggressive,Selected
28,Female,Bachelor's (Type 2),6,3,20.27767822006569,76,60,13,Aggressive,Selected
26,Male,Bachelor's (Type 2),6,5,26.33428954270014,100,18,28,Aggressive,Selected
37,Female,Bachelor's (Type 2),10,5,43.80005374465764,65,45,5,Constructive,Not Selected
23,Female,Master's,12,3,38.4976840901204,40,48,6,Moderate,Not Selected
44,Female,Bachelor's (Type 1),14,5,41.25584256580888,74,21,36,Moderate,Not Selected
47,Male,Bachelor's (Type 2),5,1,7.842258329317841,87,77,52,Aggressive,Selected
33,Female,Master's,3,5,4.485971291686473,69,56,17,Constructive,Not Selected
37,Female,Bachelor's (Type 2),10,3,45.67023645439935,60,13,86,Constructive,Not Selected
45,Male,Bachelor's (Type 2),8,4,20.39171347855472,25,43,37,Moderate,Not Selected
28,Male,PhD,5,5,15.393983903484042,70,15,58,Moderate,Not Selected
45,Male,Master's,3,2,37.23481271309122,82,96,0,Aggressive,Selected
40,Male,Bachelor's (Type 2),11,1,42.82077982899283,69,76,67,Moderate,Not Selected
21,Female,Bachelor's (Type 2),2,1,44.12448109491505,28,11,43,Moderate,Not Selected
39,Female,Bachelor's (Type 2),3,2,16.799857056261366,65,54,46,Aggressive,Not Selected
47,Female,Bachelor's (Type 2),2,2,43.6106195600837,18,50,34,Moderate,Not Selected
34,Female,Bachelor's (Type 2),14,5,3.046697218717269,67,38,86,Aggressive,Selected
47,Male,Bachelor's (Type 2),1,2,3.483074572985944,57,32,90,Moderate,Not Selected
26,Female,Bachelor's (Type 2),13,4,32.17595975870772,69,32,59,Moderate,Not Selected
31,Female,Bachelor's (Type 2),4,3,4.155318455777312,56,28,89,Aggressive,Not Selected
48,Male,Master's,1,2,17.230458425508075,36,68,51,Moderate,Not Selected
27,Female,Bachelor's (Type 2),5,2,34.6377993123462,60,69,7,Moderate,Not Selected
34,Female,Bachelor's (Type 1),2,4,17.863344802711318,91,30,79,Aggressive,Selected
22,Female,Bachelor's (Type 2),5,1,9.979989072004797,29,79,40,Constructive,Not Selected
33,Female,Bachelor's (Type 2),14,1,15.067531092692082,70,30,2,Aggressive,Not Selected
36,Female,Bachelor's (Type 2),10,5,23.878766612521588,72,88,95,Moderate,Selected
23,Female,Bachelor's (Type 2),9,4,24.76929276777412,24,45,68,Aggressive,Selected
37,Male,Bachelor's (Type 2),8,3,40.150011567360096,96,96,83,Aggressive,Selected
27,Male,Bachelor's (Type 2),0,3,38.50766147157562,64,76,13,Aggressive,Not Selected
23,Female,Bachelor's (Type 1),15,4,23.84089022780676,5,51,95,Aggressive,Selected
21,Female,Bachelor's (Type 1),15,3,43.28336745493857,17,9,25,Moderate,Not Selected
49,Male,Bachelor's (Type 2),5,1,6.711856929569792,9,87,69,Aggressive,Selected
25,Female,Bachelor's (Type 2),8,3,13.767667511445074,91,73,57,Moderate,Not Selected
41,Female,PhD,10,3,42.398823175112575,10,40,99,Aggressive,Selected
29,Female,Bachelor's (Type 2),3,4,19.899701931307654,96,94,39,Aggressive,Selected
23,Male,Bachelor's (Type 2),10,4,50.05907793969211,64,76,50,Moderate,Not Selected
41,Female,Bachelor's (Type 2),11,3,24.31266407639177,76,2,4,Constructive,Not Selected
48,Male,Bachelor's (Type 1),1,2,40.59678114818821,100,58,76,Moderate,Not Selected
50,Female,PhD,12,4,21.1153520691186,83,51,31,Moderate,Selected
37,Male,Bachelor's (Type 2),3,5,22.24767595312152,64,33,79,Aggressive,Not Selected
45,Male,Master's,0,5,20.14415736420917,51,48,0,Constructive,Not Selected
31,Female,Bachelor's (Type 1),2,1,36.953781025540586,66,27,76,Aggressive,Not Selected
21,Male,Bachelor's (Type 2),9,3,28.375894202999724,81,82,53,Aggressive,Selected
29,Female,Bachelor's (Type 2),8,2,48.188905568418456,77,86,10,Moderate,Not Selected
49,Male,Master's,9,1,13.544515826705238,30,95,52,Moderate,Not Selected
23,Female,Bachelor's (Type 1),4,3,6.028136604172218,90,12,7,Constructive,Not Selected
33,Female,Bachelor's (Type 2),14,4,20.66307425496076,16,96,24,Aggressive,Selected
50,Male,PhD,10,5,31.8356353823388,54,97,39,Constructive,Not Selected
35,Female,Bachelor's (Type 2),5,2,44.03994684577475,92,96,31,Moderate,Not Selected
34,Female,Bachelor's (Type 2),2,5,18.309844334016383,35,68,87,Moderate,Not Selected
27,Male,Bachelor's (Type 1),15,4,33.68933755622308,100,66,27,Aggressive,Selected
33,Female,PhD,4,3,18.509934051160958,25,60,77,Aggressive,Selected
42,Female,Bachelor's (Type 1),10,4,31.860979149722905,52,59,2,Constructive,Not Selected
47,Male,Master's,7,4,45.24039735153254,16,70,99,Moderate,Selected
44,Male,Master's,5,5,12.567882112970452,85,23,90,Moderate,Not Selected
49,Female,Bachelor's (Type 2),3,2,21.21208210535196,24,62,83,Constructive,Not Selected
27,Female,Bachelor's (Type 2),1,4,50.66325982148733,1,85,78,Aggressive,Selected
40,Male,Bachelor's (Type 1),13,5,44.42785141247304,85,60,61,Moderate,Selected
35,Male,Bachelor's (Type 2),8,2,29.231992894810094,4,22,26,Moderate,Not Selected
32,Female,Master's,12,3,26.83137959271377,3,29,44,Aggressive,Selected
37,Male,Master's,11,3,15.23001911523405,35,59,91,Aggressive,Selected
34,Female,Bachelor's (Type 2),0,1,26.86047138467647,5,17,24,Moderate,Not Selected
40,Female,Bachelor's (Type 2),0,5,43.40907491399736,20,95,60,Moderate,Not Selected
43,Female,Bachelor's (Type 1),12,2,35.25872566388903,76,55,43,Moderate,Not Selected
45,Female,Bachelor's (Type 1),3,4,15.502201408899328,100,52,96,Aggressive,Selected
44,Female,Bachelor's (Type 1),6,3,11.073196052676646,88,6,45,Constructive,Not Selected
47,Male,Bachelor's (Type 2),0,2,14.260426849841457,25,96,13,Aggressive,Not Selected
47,Male,Bachelor's (Type 2),8,5,9.487960069641328,54,68,7,Moderate,Not Selected
47,Male,Bachelor's (Type 2),3,1,5.782034801185797,38,91,47,Moderate,Not Selected
32,Male,Bachelor's (Type 2),2,3,21.95680872210275,83,71,13,Aggressive,Selected
28,Female,Bachelor's (Type 2),0,2,6.664980219913385,32,78,64,Aggressive,Selected
48,Female,Bachelor's (Type 2),9,2,9.595627886355215,13,51,79,Moderate,Not Selected
34,Female,Master's,3,2,28.366234216974306,55,3,81,Constructive,Not Selected
32,Female,Bachelor's (Type 2),8,5,9.229963684978737,99,33,6,Aggressive,Selected
20,Male,PhD,12,5,4.193988371545142,80,68,78,Moderate,Selected
44,Female,Master's,13,5,16.86944250139426,20,32,87,Moderate,Not Selected
26,Female,Bachelor's (Type 1),9,4,12.015954931098376,45,68,48,Aggressive,Selected
28,Male,Master's,15,2,26.76525939971884,15,37,54,Moderate,Not Selected
43,Male,Bachelor's (Type 2),15,3,6.118354229160466,15,97,12,Constructive,Not Selected
20,Male,Bachelor's (Type 2),5,5,38.58853938414891,83,25,72,Moderate,Not Selected
31,Male,Bachelor's (Type 2),15,5,46.31167597175693,28,0,55,Constructive,Not Selected
27,Female,Bachelor's (Type 2),5,2,38.17175869780972,91,3,55,Aggressive,Not Selected
43,Female,Bachelor's (Type 2),0,5,27.641351870069716,7,38,14,Moderate,Not Selected
50,Male,Bachelor's (Type 2),9,4,44.03339108944426,87,53,56,Moderate,Not Selected
30,Female,Bachelor's (Type 2),1,4,35.74591898907538,2,89,57,Moderate,Not Selected
38,Female,Bachelor's (Type 2),10,5,1.527556122509493,88,32,34,Moderate,Not Selected
36,Female,Bachelor's (Type 2),5,2,20.704507638725158,18,32,87,Aggressive,Not Selected
27,Male,Master's,1,2,43.54759497034,96,71,96,Moderate,Selected
22,Female,Bachelor's (Type 1),2,2,18.292942898763464,65,19,15,Moderate,Not Selected
22,Male,Bachelor's (Type 2),3,1,2.760758676276175,78,15,7,Aggressive,Not Selected
20,Female,Master's,10,5,38.308981927613615,85,20,92,Constructive,Selected
46,Female,Bachelor's (Type 2),4,2,41.10191351414343,73,44,86,Moderate,Not Selected
24,Female,Bachelor's (Type 1),14,4,9.029684752165428,81,89,44,Moderate,Not Selected
29,Male,Bachelor's (Type 1),8,3,27.86702484215906,21,86,94,Aggressive,Selected
26,Female,Bachelor's (Type 2),11,3,10.597771949786289,45,81,39,Aggressive,Selected
45,Male,PhD,14,2,36.96172095220734,90,61,53,Moderate,Selected
28,Male,Bachelor's (Type 2),14,3,14.577522758874284,12,30,13,Moderate,Not Selected
47,Male,PhD,3,3,16.810756128166503,32,41,58,Moderate,Not Selected
26,Female,Bachelor's (Type 2),12,1,43.248542682005066,4,11,93,Moderate,Not Selected
28,Female,Bachelor's (Type 2),10,4,24.816117610345216,89,64,52,Aggressive,Selected
27,Female,Bachelor's (Type 2),8,4,34.48772256091239,76,72,26,Moderate,Not Selected
31,Female,Bachelor's (Type 2),10,1,21.11865253612338,26,2,46,Moderate,Not Selected
21,Male,Bachelor's (Type 1),9,1,15.90034285968777,77,89,79,Moderate,Selected
20,Male,Master's,2,3,32.27390302123307,23,8,5,Aggressive,Not Selected
35,Male,Master's,7,5,8.742878703941063,66,50,54,Aggressive,Selected
42,Female,Bachelor's (Type 2),11,3,19.64999177834315,62,15,96,Moderate,Not Selected
42,Male,PhD,0,1,11.451851869296114,93,87,43,Aggressive,Selected
49,Female,Master's,10,4,35.789748347037275,98,77,17,Aggressive,Selected
43,Male,Bachelor's (Type 2),8,3,48.21044191730538,47,2,15,Aggressive,Not Selected
24,Female,Bachelor's (Type 1),8,5,50.77554840079332,62,97,11,Moderate,Not Selected
22,Female,Bachelor's (Type 2),9,3,23.513840522079537,77,96,19,Moderate,Not Selected
31,Male,Bachelor's (Type 2),1,2,13.626519481822225,11,23,44,Moderate,Not Selected
27,Male,Bachelor's (Type 2),3,3,23.141468519216208,27,72,63,Aggressive,Selected
41,Male,Bachelor's (Type 1),12,1,43.36347049813619,43,12,58,Moderate,Not Selected
46,Male,Master's,7,4,11.300283927601994,92,1,92,Aggressive,Selected
22,Female,Bachelor's (Type 1),6,4,48.60478258264619,42,70,93,Constructive,Not Selected
20,Male,Bachelor's (Type 2),0,1,18.09328843990755,16,20,89,Moderate,Not Selected
22,Male,PhD,4,2,50.29018297251525,39,18,21,Moderate,Not Selected
24,Male,Master's,6,1,42.93044437669811,48,88,96,Aggressive,Selected
34,Female,Bachelor's (Type 2),14,3,41.42852670736952,84,46,46,Aggressive,Selected
33,Female,Master's,15,1,16.895233688664177,56,21,28,Moderate,Not Selected
22,Male,Bachelor's (Type 1),3,1,1.4388605973964732,86,74,85,Moderate,Not Selected
20,Female,Bachelor's (Type 1),14,2,20.106645441299392,83,32,44,Aggressive,Selected
24,Male,Bachelor's (Type 2),15,3,16.090468483134686,63,31,76,Constructive,Not Selected
45,Female,Bachelor's (Type 2),14,5,2.869849520439865,74,63,8,Constructive,Not Selected
42,Female,Bachelor's (Type 2),0,5,26.26826282529648,56,84,23,Moderate,Not Selected
50,Female,Bachelor's (Type 2),8,4,21.15156556413683,97,38,14,Constructive,Not Selected
33,Female,Bachelor's (Type 1),13,1,32.72782338707624,73,83,35,Aggressive,Selected
26,Male,Bachelor's (Type 2),4,4,32.05931610970416,73,71,12,Aggressive,Selected
46,Male,Bachelor's (Type 2),10,2,7.037331794834006,69,41,90,Aggressive,Selected
28,Male,Master's,15,5,49.84827730633113,99,100,43,Moderate,Selected
34,Female,Bachelor's (Type 2),1,1,10.346571472072348,87,8,100,Aggressive,Selected
34,Male,Bachelor's (Type 2),7,2,23.263701238235228,75,24,70,Constructive,Not Selected
45,Male,Bachelor's (Type 2),10,2,25.405877171686747,42,88,71,Aggressive,Selected
29,Male,Bachelor's (Type 1),12,1,41.653139860706005,22,96,100,Moderate,Not Selected
47,Female,Bachelor's (Type 1),1,2,5.961479804732338,26,1,77,Constructive,Not Selected
32,Female,Master's,2,1,22.432213960426587,57,18,75,Aggressive,Selected
38,Female,Bachelor's (Type 2),13,1,32.425108511810194,36,19,35,Aggressive,Not Selected
50,Male,Bachelor's (Type 1),9,3,11.757781081202776,5,92,60,Moderate,Not Selected
26,Male,Bachelor's (Type 2),0,4,32.37339493830364,64,69,80,Aggressive,Selected
36,Male,Bachelor's (Type 2),10,2,47.18324187748264,5,16,39,Aggressive,Not Selected
39,Female,Bachelor's (Type 2),15,2,50.87590655863375,49,88,92,Aggressive,Selected
48,Female,Bachelor's (Type 2),1,3,2.622553839533785,21,67,26,Moderate,Not Selected
23,Male,Bachelor's (Type 2),13,3,12.779411412233877,87,93,0,Constructive,Not Selected
49,Female,Bachelor's (Type 2),15,3,16.515355789584873,24,83,33,Constructive,Not Selected
24,Female,Bachelor's (Type 1),6,5,20.956305022248305,78,2,67,Aggressive,Selected
42,Female,Bachelor's (Type 2),9,5,13.11285787923837,89,86,87,Moderate,Selected
26,Female,Master's,1,5,11.174399727765628,71,50,20,Moderate,Not Selected
32,Male,Master's,5,1,48.727692120875,50,81,32,Constructive,Not Selected
34,Female,Master's,14,2,46.92608013852589,87,25,6,Aggressive,Selected
30,Female,Bachelor's (Type 2),2,4,3.3496250501558738,47,55,64,Moderate,Not Selected
48,Female,Bachelor's (Type 2),3,1,17.940651080242407,69,99,2,Moderate,Not Selected
23,Female,Bachelor's (Type 2),10,2,21.25742768392033,98,63,50,Constructive,Not Selected
32,Male,Bachelor's (Type 2),14,2,12.950726733297168,64,7,78,Aggressive,Selected
26,Male,Bachelor's (Type 2),12,3,32.44364484940877,59,80,94,Aggressive,Selected
46,Female,Bachelor's (Type 1),7,3,33.01903733221205,45,94,53,Aggressive,Selected
38,Female,Bachelor's (Type 2),13,1,43.525211416429855,35,36,79,Aggressive,Selected
41,Female,PhD,2,3,38.04346341926089,57,96,73,Moderate,Not Selected
47,Female,Bachelor's (Type 2),9,2,28.12866634829778,75,26,92,Moderate,Not Selected
21,Female,Bachelor's (Type 1),5,3,33.67933850222099,37,44,58,Moderate,Not Selected
29,Female,Bachelor's (Type 2),0,5,14.699439077150904,10,3,5,Aggressive,Not Selected
32,Male,Master's,6,3,30.652809498367883,11,85,28,Aggressive,Selected
49,Female,Bachelor's (Type 2),7,2,25.46136273749596,41,89,16,Aggressive,Selected
44,Male,Bachelor's (Type 2),10,1,7.66722336581852,38,95,59,Aggressive,Selected
40,Male,Bachelor's (Type 1),13,4,13.127213829148536,70,87,21,Moderate,Not Selected
25,Female,Bachelor's (Type 2),7,3,15.5846725360793,10,98,23,Aggressive,Selected
47,Male,Bachelor's (Type 2),2,2,47.2154783526279,35,36,80,Aggressive,Not Selected
47,Male,Master's,13,4,12.519331969294472,51,95,84,Moderate,Selected
31,Male,Bachelor's (Type 2),9,4,15.462195140983408,30,70,50,Moderate,Not Selected
31,Male,Bachelor's (Type 1),0,5,19.46770650447161,32,32,49,Moderate,Not Selected
39,Male,Bachelor's (Type 1),8,4,34.18713693126935,12,30,10,Constructive,Not Selected
49,Male,Bachelor's (Type 1),12,2,6.911919623607026,17,54,55,Aggressive,Selected
49,Female,Bachelor's (Type 2),5,2,48.6972606246888,40,11,70,Moderate,Not Selected
30,Male,Bachelor's (Type 2),10,3,44.27856100473822,57,10,41,Moderate,Not Selected
45,Male,Bachelor's (Type 2),8,3,29.860803650447508,55,87,38,Moderate,Not Selected
42,Male,Bachelor's (Type 2),6,3,34.701893371247834,23,71,68,Constructive,Not Selected
47,Female,Bachelor's (Type 2),0,4,1.8330235622107995,72,31,47,Aggressive,Not Selected
44,Male,Bachelor's (Type 1),11,4,17.947238767422434,30,56,56,Moderate,Not Selected
26,Female,Bachelor's (Type 1),11,5,40.7830115330721,54,37,20,Aggressive,Not Selected
49,Male,Master's,0,3,4.874148689619295,9,59,81,Moderate,Not Selected
20,Female,Bachelor's (Type 2),5,1,15.11569171053601,59,85,98,Moderate,Not Selected
20,Female,Bachelor's (Type 2),4,5,30.26484141671557,1,97,19,Constructive,Not Selected
44,Male,Master's,8,1,13.820651384947093,14,18,14,Constructive,Not Selected
46,Male,Bachelor's (Type 2),1,4,47.69889870722596,2,83,68,Moderate,Not Selected
49,Female,Master's,7,5,7.5529315402145185,42,55,76,Aggressive,Selected
44,Male,Bachelor's (Type 2),10,5,40.86971789538893,30,13,50,Moderate,Not Selected
39,Female,PhD,4,2,26.39743459532041,69,32,75,Moderate,Not Selected
32,Female,Bachelor's (Type 1),1,4,38.5165387909978,66,9,61,Aggressive,Not Selected
28,Female,Bachelor's (Type 1),12,4,16.535766415572372,55,79,84,Moderate,Not Selected
22,Female,Bachelor's (Type 2),9,5,26.72448011560194,62,63,36,Constructive,Not Selected
26,Female,PhD,10,4,43.841767486158815,74,63,5,Moderate,Selected
25,Male,Master's,10,5,24.34390495615522,14,61,70,Moderate,Selected
27,Female,Bachelor's (Type 1),11,2,18.98599309551348,91,67,25,Constructive,Not Selected
46,Female,Bachelor's (Type 2),5,5,27.807769312636804,9,90,7,Aggressive,Not Selected
28,Male,PhD,9,4,36.86813765181834,37,91,72,Aggressive,Selected
49,Female,Bachelor's (Type 2),7,4,23.178167274925137,46,42,90,Moderate,Not Selected
24,Male,Master's,3,5,47.94384875711365,56,79,3,Moderate,Not Selected
20,Male,Master's,1,5,15.747291202117102,49,58,20,Moderate,Not Selected
38,Male,Bachelor's (Type 2),11,5,24.77318030845602,70,51,30,Aggressive,Selected
29,Female,Bachelor's (Type 2),10,3,38.84638296707208,14,96,20,Aggressive,Selected
31,Female,Bachelor's (Type 2),4,4,35.45605452478791,17,18,24,Aggressive,Not Selected
43,Female,Bachelor's (Type 2),14,4,44.18205262085781,81,20,14,Constructive,Not Selected
34,Male,Master's,11,3,50.84045903405544,87,21,34,Moderate,Not Selected
46,Female,Bachelor's (Type 2),1,5,22.34291643975448,1,8,48,Moderate,Not Selected
41,Male,Master's,1,2,6.557543989165592,83,8,42,Aggressive,Selected
43,Female,Bachelor's (Type 1),14,5,2.520794040398399,97,72,40,Aggressive,Selected
28,Male,PhD,5,5,37.34384530698858,42,26,36,Moderate,Not Selected
39,Female,Bachelor's (Type 2),15,3,44.70068356543578,25,16,56,Aggressive,Not Selected
36,Female,Bachelor's (Type 1),10,4,12.035629297220934,70,43,41,Moderate,Not Selected
49,Female,Bachelor's (Type 1),9,5,8.922401859495299,37,44,46,Moderate,Not Selected
36,Male,Master's,8,4,4.110254576284549,93,7,91,Moderate,Selected
45,Male,Bachelor's (Type 2),12,1,42.13514608586032,41,79,60,Moderate,Not Selected
39,Female,Master's,3,4,16.569096994629216,4,17,13,Moderate,Not Selected
31,Female,Bachelor's (Type 1),5,2,21.084844637988823,10,32,67,Aggressive,Not Selected
49,Male,Bachelor's (Type 1),15,2,26.13750958048061,64,0,52,Moderate,Not Selected
26,Male,Bachelor's (Type 2),6,5,42.97266171047754,33,75,83,Moderate,Not Selected
21,Male,Bachelor's (Type 2),12,4,33.54166107807425,0,5,33,Aggressive,Not Selected
22,Female,Bachelor's (Type 2),10,5,31.753231492890563,82,40,75,Constructive,Not Selected
36,Male,PhD,5,3,9.783604997795535,1,54,96,Aggressive,Selected
24,Female,PhD,7,2,26.659494585491487,84,4,23,Aggressive,Selected
36,Male,PhD,3,5,36.76905085893276,19,58,19,Aggressive,Selected
43,Female,Master's,11,3,49.66304415152459,60,79,68,Constructive,Selected
36,Male,Bachelor's (Type 2),14,5,11.070315460667612,86,17,29,Moderate,Not Selected
46,Male,Bachelor's (Type 2),0,4,1.4771676533613325,20,48,87,Moderate,Not Selected
36,Male,Bachelor's (Type 2),6,4,4.765071679923487,87,81,6,Aggressive,Selected
21,Male,Master's,2,4,19.79262325909896,67,64,35,Moderate,Not Selected
21,Male,Bachelor's (Type 1),13,4,42.02723238729936,11,82,37,Moderate,Not Selected
47,Female,Bachelor's (Type 2),5,1,1.3571040884122525,21,53,79,Constructive,Not Selected
41,Male,Bachelor's (Type 1),1,3,23.83652964429201,19,60,51,Aggressive,Not Selected
42,Male,Bachelor's (Type 2),8,3,17.461530767069725,81,7,14,Aggressive,Selected
24,Male,Master's,0,4,3.624085504986379,0,2,45,Aggressive,Not Selected
20,Female,Master's,5,1,23.511814333630863,29,24,22,Constructive,Not Selected
20,Male,Bachelor's (Type 2),5,4,13.737435366835944,96,68,11,Moderate,Not Selected
38,Female,PhD,4,1,18.59424171735032,23,54,92,Moderate,Not Selected
49,Male,Bachelor's (Type 2),15,4,36.28076523921465,13,39,43,Moderate,Not Selected
21,Male,Bachelor's (Type 1),12,2,27.077549195548357,35,82,14,Constructive,Not Selected
40,Female,Bachelor's (Type 2),4,2,7.232371449640667,68,81,92,Constructive,Not Selected
31,Male,Bachelor's (Type 2),0,5,49.07072702118195,74,49,48,Moderate,Not Selected
45,Female,Bachelor's (Type 1),9,4,32.79553828548692,23,94,20,Aggressive,Selected
25,Female,PhD,11,3,39.29342128312658,59,32,14,Aggressive,Selected
42,Male,Bachelor's (Type 2),4,5,4.960657500418541,94,17,13,Constructive,Not Selected
23,Female,Master's,1,2,3.3529189730009445,54,56,41,Moderate,Not Selected
42,Male,Bachelor's (Type 2),6,4,1.9724025184040583,76,15,79,Aggressive,Selected
30,Male,Bachelor's (Type 1),2,5,10.439701388672225,79,79,14,Moderate,Not Selected
43,Female,Bachelor's (Type 2),12,4,21.720419885924755,23,37,62,Constructive,Not Selected
46,Female,Bachelor's (Type 1),14,2,47.79130667014114,76,40,67,Moderate,Not Selected
36,Female,Bachelor's (Type 2),3,5,23.852982963288817,23,6,26,Moderate,Not Selected
50,Female,PhD,2,2,15.51275526862647,53,77,86,Constructive,Not Selected
25,Male,Bachelor's (Type 2),2,1,29.096762675983168,25,52,92,Moderate,Not Selected
43,Male,Bachelor's (Type 2),3,2,6.596728906739462,65,62,52,Aggressive,Not Selected
24,Female,Bachelor's (Type 1),4,4,31.47529455024916,79,88,51,Constructive,Not Selected
39,Male,Bachelor's (Type 1),0,3,29.421597716525167,37,31,62,Constructive,Not Selected
21,Male,Bachelor's (Type 1),3,2,40.59965167028548,64,37,72,Constructive,Not Selected
25,Male,Bachelor's (Type 2),11,3,50.3343805808512,74,21,52,Moderate,Not Selected
41,Male,Bachelor's (Type 1),11,1,13.543673585805523,50,15,56,Aggressive,Not Selected
30,Female,Bachelor's (Type 2),10,5,26.48282254018803,34,51,51,Constructive,Not Selected
50,Female,Bachelor's (Type 2),7,5,46.44327031595018,42,28,42,Aggressive,Not Selected
35,Male,Bachelor's (Type 2),9,3,40.25949422114206,28,15,6,Constructive,Not Selected
